1a	1a	"DeeDeemensional"	Rob Renzetti & Genndy Tartakovsky	Rob Renzetti	April 27, 1996 (TNT)[1]April 28, 1996 (TBS/Cartoon Network)[2]	102a
38b	25b	"Let's Save the World You Jerk!"	John McIntyre	Michael Ryan	Kevin Kaliher	February 4, 1998	226b (34-5473)
38c	25c	"Average Joe"	Rumen Petkov	Michael Ryan	David Smith	February 4, 1998	226c (34-5470)
39a	26a	"Rushmore Rumble"	Genndy Tartakovsky	Seth MacFarlane	Genndy Tartakovsky	February 11, 1998	223a (34-5472)
39b	26b	"A Boy and His Bug"	John McIntyre	Seth MacFarlane	Genndy Tartakovsky	February 11, 1998	223b (34-5471)
39c	26c	"You Vegetabelieve It!"	Rumen Petkov	Seth MacFarlane	Bob Staake	February 11, 1998	223c (34-5475)
40a	27a	"Aye Aye Eyes"	Genndy Tartakovsky	TBA	Craig McCracken	February 18, 1998	225a (34-5448)
40b	27b	"Dee Dee and the Man"	John McIntyre & Genndy Tartakovsky	TBA	Craig McCracken	February 18, 1998	225b (34-5479)
41a	28a	"Old Flame"	Genndy Tartakovsky	Michael Ryan	Paul Rudish	February 25, 1998	229a (34-5480)
41b	28b	"Don't Be a Hero"	Rumen Petkov	Michael Ryan	Mike Stern	February 25, 1998	229b (34-5483)
41c	28c	"My Favorite Martian"	John McIntyre	Michael Ryan	Andy Bialk	February 25, 1998	229c (34-5477)
42a	29a	"Paper Route Bout"	John McIntyre	Michael Ryan	Daniel Krall	March 4, 1998	230a (34-5485)
42b	29b	"The Old Switcharooms"	John McIntyre	Michael Ryan	Kevin Kaliher	March 4, 1998	230b (34-5485)
42c	29c	"Trick or Treehouse"	Rumen Petkov	Michael Ryan	David Smith	March 4, 1998	230c (34-5478)
43a	30a	"Quiet Riot"	Rumen Petkov & Genndy Tartakovsky	Michael Ryan	Chris Savino	March 11, 1998	231a (34-5489)
43b	30b	"Accent You Hate"	John McIntyre	Michael Ryan	David Smith	March 11, 1998	231b (34-5486)
43c	30c	"Catch of the Day"	Rumen Petkov	Michael Ryan	Bob Staake	March 11, 1998	231c (34-5487)
44a	31a	"Dad Is Disturbed"	John McIntyre	TBA	John McIntyre	March 18, 1998	232a (34-5494)
44b	31b	"Framed"	Genndy Tartakovsky	TBA	Kevin Kaliher	March 18, 1998	232b (34-5493)
44c	31c	"That's Using Your Head"	John McIntyre	TBA	Clayton McKenzie Morrow	March 18, 1998	232c (34-5488)
45a	32a	"DiM"	Genndy Tartakovsky	Michael Ryan	Craig McCracken	March 25, 1998	233a (34-5501)
45b	32b	"Just an Old-Fashioned Lab Song..."	John McIntyre	Michael Ryan	David Smith	March 25, 1998	233b (34-5497)
45c	32c	"Repairanoid"	Rumen Petkov	Michael Ryan	Greg Miller	March 25, 1998	233c (34-5498)
46a	33a	"Sdrawkcab"	John McIntyre	Seth MacFarlane	Clayton McKenzie Morrow	April 1, 1998	236a (34-5500)
46b	33b	"The Continuum of Cartoon Fools"	Rumen Petkov & Genndy Tartakovsky	Seth MacFarlane	Don Shank	April 1, 1998	236b (34-5499)
46c	33c	"Sun, Surf, and Science"	Rumen Petkov & Genndy Tartakovsky	Seth MacFarlane	Mike Stern	April 1, 1998	236c (34-5491)
47a	34a	"Big Bots"	Rumen Petkov & Genndy Tartakovsky	Seth MacFarlane	Craig McCracken	April 8, 1998	228a (34-5469)
47b	34b	"Gooey Aliens That Control Your Mind"	Rumen Petkov & Genndy Tartakovsky	Seth MacFarlane	Todd Frederiksen & Genndy Tartakovsky	April 8, 1998	228b (34-5481)
47c	34c	"Misplaced in Space"	Genndy Tartakovsky	Seth MacFarlane	Chris Savino	April 8, 1998	228c (34-5481)
48a	35a	"Dee Dee's Rival"	Rumen Petkov & Genndy Tartakovsky	TBA	Chris Savino	April 15, 1998	235a (34-5505)
